Reference Id	Reference Type	Brief Author	Brief Title	Link	Citation
187	link		Non-Maximum Suppression in Python	https://www.pyimagesearch.com/2015/02/16/faster-non-maximum-suppression-python/	
188	video		Terrifying video shows how distracted teens can be while driving	https://www.youtube.com/watch?v=d-t-pVe-LCs	
189	link		Facial Expressions 	http://www.personal.psu.edu/afr3/blogs/siowfa12/2012/10/facial-expressions.html	
190	link		Affectiva Developer Portal	https://developer.affectiva.com	
191	paper		3D Convolutional Neural Networks for Human Action Recognition	https://www.computer.org/csdl/trans/tp/2013/01/ttp2013010221-abs.html	
192	paper		DeepPose: Human Pose Estimation via Deep Neural Networks	https://arxiv.org/abs/1312.4659	
193	video		A Deep Learning Framework for Character Motion Synthesis	https://www.youtube.com/watch?v=urf-AAIwNYk	
194	image		Exponential Growth of Computing	https://upload.wikimedia.org/wikipedia/commons/d/df/PPTExponentialGrowthof_Computing.jpg	
195	video		Sophia Hanson Robotics	https://www.youtube.com/watch?v=wEqhGVxd6TE	
196	link		What drives humans to explore the unknown?	http://www.rochester.edu/newscenter/journeys-into-the-unknown-91212/	
197	video		Realtime 3D Eye Gaze Animation Using a Single RGB Camera	https://www.youtube.com/watch?v=9O95A-3Ocbw	
198	link		The MIT DARPA Robotics Challenge Team	http://drc.mit.edu/	
199	video		Falcon Heavy | Flight Animation	https://www.youtube.com/watch?v=4Ca6x4QbpoM&t=31s	
200	video		Apollo Moon Landing	https://www.youtube.com/watch?v=G6A72ufn3l4	
201	link		Mankind's Greatest Explorations and Adventures 	http://content.time.com/time/specials/packages/article/0,28804,1932261_1932258_1932252,00.html	
202	video		Competitive Self-Play	https://www.youtube.com/watch?v=OBcjhp4KSgQ	
203	video		Speech and Facial Animation at SIGGRAPH 2017 -- comparison of technical papers	https://www.youtube.com/watch?v=pkkph4JhrCg	
